"user_id","first_name","last_name","dob","gender","martital_status","race","religion"
1,"Ann","Rogers","1979-06-14","Other","Single","Asian","Jewish"
2,"Edwards","White","1950-10-15","Male","Unknown","White","Christian"
3,"Patricia","Anderson","1986-05-28","Feamle","Married","White","Christian"
4,"Scott","Williams","1950-12-07","Male","Unknown","White","Christian"
5,"Flores","Roberts","1969-10-24","Male","Married","White","Atheist"
6,"Diane","Brooks","1972-11-14","Feamle","Unknown","Hispanic","Christian"
7,"Long","Young","1985-12-20","Male","Married","White","Christian"
8,"Thomas","Bryant","1974-05-24","Male","Married","Black","Agnostic"
9,"Nelson","Martin","1961-01-30","Male","Married","White","Christian"
10,"Marie","Hernandez","1991-11-19","Feamle","Married","White","Agnostic"
11,"Taylor","Stewart","1972-04-01","Male","Single","White","Christian"
12,"Lee","Gonzales","1980-12-28","Male","Single","White","Agnostic"
13,"Collins","Richardson","1964-01-31","Male","Single","Hispanic","Jewish"
14,"Turner","Gonzales","1978-10-05","Male","Married","Asian","Christian"
15,"Foster","Henderson","1970-07-27","Male","Single","Asian","Other"
16,"Perez","Ward","1974-07-23","Male","Married","White","Christian"
17,"Phillips","Williams","1975-07-01","Male","Married","Hispanic","Agnostic"
18,"Harris","King","1957-03-31","Male","Unknown","Black","Christian"
19,"Parker","Jones","1992-04-15","Male","Married","Hispanic","Christian"
20,"Anderson","Cox","1980-02-19","Male","Single","White","Christian"
21,"Jackson","Brown","1975-11-20","Male","Married","Asian","Agnostic"
22,"Jessica","Jenkins","1967-08-14","Other","Single","Black","Muslim"
23,"Martinez","Rogers","1976-08-09","Male","Unknown","White","Agnostic"
24,"Gloria","Roberts","1977-06-10","Feamle","Married","White","Christian"
25,"Rebecca","Simmons","1974-12-04","Other","Married","White","Christian"
26,"Cox","Robinson","1974-09-09","Other","Single","White","Christian"
27,"Wright","Patterson","1972-02-18","Male","Unknown","White","Christian"
28,"Rodriguez","Alexander","1978-08-03","Other","Married","White","Christian"
29,"Anna","Ward","1985-12-02","Feamle","Married","Hispanic","Agnostic"
30,"Alice","Stewart","1987-01-27","Feamle","Married","White","Christian"
31,"Barnes","Powell","1964-08-26","Male","Single","Asian","Christian"
32,"Melissa","Long","1981-01-02","Feamle","Married","White","Christian"
33,"Stephanie","Simmons","1966-03-13","Other","Married","White","Christian"
34,"Bennett","Bailey","1977-08-15","Male","Single","White","Christian"
35,"Martin","Rogers","1963-11-20","Male","Single","White","Agnostic"
36,"Patricia","Morgan","1986-07-22","Feamle","Single","White","Christian"
37,"Hill","Green","1974-08-09","Male","Unknown","Black","Agnostic"
38,"Debra","Thomas","1967-12-13","Feamle","Married","White","Christian"
39,"Wilson","Phillips","1976-01-30","Male","Unknown","Asian","Christian"
40,"Betty","Wilson","1996-06-22","Feamle","Married","Multiracial","Christian"
41,"Carolyn","Wright","1971-02-08","Other","Married","White","Christian"
42,"Robinson","Henderson","1979-01-12","Male","Married","White","Christian"
43,"Cooper","Murphy","1967-07-01","Male","Unknown","Hispanic","Christian"
44,"Torres","Rivera","1981-03-15","Male","Married","Hispanic","Christian"
45,"Wood","Gray","1974-12-16","Male","Married","White","Christian"
46,"Martin","Rodriguez","1989-07-13","Male","Single","White","Christian"
47,"Donna","Washington","1980-10-16","Feamle","Unknown","Hispanic","Christian"
48,"Gonzalez","Cooper","1986-08-27","Male","Unknown","White","Christian"
49,"Barnes","Sanchez","1965-12-10","Male","Married","Hispanic","Christian"
50,"Campbell","Young","1976-06-15","Male","Married","White","Christian"
51,"Sarah","Scott","1961-04-26","Feamle","Single","Hispanic","Christian"
52,"Laura","Flores","1959-03-11","Feamle","Single","Black","Christian"
53,"Jenkins","Phillips","1970-06-12","Male","Married","Black","Christian"
54,"Christine","Martinez","1974-11-16","Feamle","Single","White","Atheist"
55,"King","Adams","1982-07-23","Male","Single","Hispanic","Christian"
56,"Perry","Smith","1984-11-27","Male","Married","White","Christian"
57,"Rebecca","Price","1964-01-31","Feamle","Married","Hispanic","Christian"
58,"Edwards","Flores","1983-04-14","Male","Married","White","Christian"
