"user_id","first_name","last_name","dob","gender","martital_status","race","religion"
1,"Edwards","Nelson","1970-04-28","Male","Married","Hispanic","Agnostic"
2,"Reed","Jackson","1989-01-17","Male","Single","White","Agnostic"
3,"Coleman","Ward","1972-07-30","Male","Single","White","Christian"
4,"Scott","Alexander","1967-11-24","Male","Married","Asian","Christian"
5,"Martha","Adams","1963-05-15","Feamle","Married","White","Agnostic"
6,"Scott","Perry","1965-09-07","Male","Unknown","White","Christian"
7,"Doris","Sanders","1970-01-16","Feamle","Unknown","White","Agnostic"
8,"Turner","Rogers","1984-11-22","Male","Married","Black","Christian"
9,"Jessica","Wilson","1972-05-20","Feamle","Single","Asian","Christian"
10,"Barnes","Thompson","1968-07-23","Male","Unknown","Hispanic","Christian"
11,"Laura","Evans","1976-12-06","Feamle","Single","Asian","Christian"
12,"Catherine","Lewis","1976-08-22","Feamle","Single","Hispanic","Christian"
13,"Gloria","Wood","1983-09-30","Feamle","Single","Hispanic","Christian"
14,"Carol","Richardson","1955-11-12","Feamle","Unknown","White","Agnostic"
15,"Helen","Baker","1975-06-13","Feamle","Married","White","Agnostic"
16,"Cynthia","Patterson","1971-12-05","Feamle","Married","Multiracial","Christian"
17,"Donna","James","1975-05-21","Feamle","Married","White","Christian"
18,"Collins","Murphy","1981-12-13","Male","Single","White","Christian"
19,"Martinez","Cooper","1984-06-11","Male","Married","White","Agnostic"
20,"Mitchell","Morris","1990-12-23","Male","Single","Hispanic","Agnostic"
21,"Bell","Cook","1966-12-31","Male","Married","White","Christian"
22,"Laura","Foster","1971-08-09","Feamle","Married","Multiracial","Agnostic"
23,"Rebecca","Bryant","1978-12-25","Feamle","Single","Hispanic","Christian"
24,"Martin","Perez","1967-08-02","Male","Married","Hispanic","Christian"
25,"Gloria","White","1985-02-02","Transgener","Married","White","Agnostic"
26,"Baker","Martin","1965-05-05","Male","Married","Asian","Christian"
27,"Baker","Martin","1983-08-24","Male","Single","Hispanic","Christian"
28,"Julie","Collins","1976-03-10","Feamle","Single","White","Christian"
29,"Torres","Simmons","1960-06-09","Male","Married","White","Christian"
30,"Butler","Adams","1973-07-23","Other","Single","White","Christian"
31,"Rivera","Hughes","1978-09-09","Male","Married","Hispanic","Agnostic"
32,"Mitchell","Scott","1983-06-28","Male","Single","Multiracial","Christian"
33,"Diane","Robinson","1977-09-27","Feamle","Married","White","Christian"
34,"Ramirez","Phillips","1981-11-10","Male","Single","Hispanic","Christian"
35,"Amanda","Turner","1987-10-24","Feamle","Married","Hispanic","Christian"
36,"Scott","Green","1976-03-04","Male","Married","White","Christian"
37,"Patterson","Perry","1985-02-12","Male","Married","Hispanic","Christian"
38,"Wright","Miller","1976-04-14","Male","Single","Asian","Agnostic"
39,"Davis","Ward","1954-10-11","Male","Unknown","White","Atheist"
40,"Taylor","Turner","1983-06-28","Male","Married","Asian","Christian"
41,"Diane","Thomas","1980-06-30","Other","Single","White","Christian"
42,"Nelson","Reed","1972-06-28","Male","Unknown","White","Christian"
43,"Turner","Torres","1983-05-04","Male","Single","White","Christian"
44,"Davis","Baker","1977-05-04","Male","Single","Black","Christian"
45,"Smith","Hall","1967-10-16","Male","Married","Hispanic","Christian"
46,"Bryant","Jones","1976-06-07","Male","Married","Asian","Christian"
47,"Carol","Miller","1976-01-23","Other","Married","White","Christian"
48,"Betty","Martin","1969-05-22","Feamle","Single","White","Christian"
49,"Wood","Richardson","1984-01-03","Male","Unknown","White","Christian"
50,"Allen","Walker","1980-08-10","Male","Married","White","Christian"
51,"Gloria","Henderson","1996-12-07","Feamle","Unknown","White","Agnostic"
52,"Griffin","Sanchez","1979-05-15","Male","Married","Hispanic","Christian"
53,"Washington","Wilson","1972-10-26","Male","Unknown","Hispanic","Christian"
54,"Patterson","Cox","1985-04-27","Male","Married","Hispanic","Christian"
55,"Joyce","Russell","1958-01-22","Feamle","Single","White","Christian"
56,"Peterson","Torres","1979-05-14","Male","Married","Hispanic","Christian"
57,"Deborah","Rodriguez","1976-11-20","Feamle","Married","White","Agnostic"
58,"White","Russell","1975-12-09","Male","Single","Hispanic","Christian"
59,"Peterson","Davis","1982-11-08","Male","Unknown","Black","Agnostic"
60,"Maria","King","1965-07-05","Feamle","Single","Hispanic","Christian"
61,"Scott","Perry","1964-12-19","Male","Married","Black","Christian"
62,"Ramirez","Cox","1965-03-09","Male","Single","White","Christian"
63,"Teresa","Gonzales","1972-08-05","Feamle","Unknown","White","Christian"
64,"Michelle","Jackson","1972-03-03","Feamle","Single","White","Christian"
65,"Campbell","Sanchez","1948-03-02","Male","Married","White","Atheist"
66,"Barnes","Gray","1988-08-27","Male","Married","Hispanic","Christian"
67,"Frances","Mitchell","1951-11-03","Feamle","Married","White","Christian"
68,"Jennifer","James","1968-05-01","Feamle","Married","White","Christian"
69,"Doris","Richardson","1980-04-06","Feamle","Married","White","Christian"
70,"Anderson","Carter","1954-12-14","Male","Married","White","Christian"
71,"Price","Jenkins","1965-08-18","Male","Married","Hispanic","Christian"
72,"Cox","Lee","1970-10-01","Male","Single","White","Christian"
73,"Smith","Davis","1970-06-28","Male","Single","White","Agnostic"
74,"Maria","Gonzalez","1959-07-26","Feamle","Unknown","Black","Christian"
75,"Sharon","Bennett","1986-07-16","Feamle","Married","White","Christian"
76,"Johnson","Sanders","1972-02-06","Male","Single","Hispanic","Christian"
77,"Watson","Lewis","1967-11-01","Male","Married","White","Christian"
78,"Angela","Rivera","1968-04-24","Feamle","Single","Multiracial","Christian"
79,"Taylor","Griffin","1973-05-20","Male","Married","Black","Buddhist"
80,"Brown","Rogers","1975-06-16","Male","Unknown","White","Christian"
81,"Anna","Sanchez","1983-03-02","Other","Single","White","Christian"
82,"Cooper","Henderson","1972-10-10","Male","Single","White","Christian"
83,"Barbara","Bailey","1964-04-24","Feamle","Unknown","White","Agnostic"
84,"Teresa","Johnson","1971-01-31","Feamle","Single","White","Christian"
85,"Brenda","Rivera","1958-11-29","Feamle","Married","White","Agnostic"
86,"Catherine","Carter","1987-08-25","Feamle","Married","Hispanic","Christian"
87,"Bennett","Torres","1972-03-05","Male","Single","Black","Christian"
88,"Debra","Collins","1973-04-14","Feamle","Unknown","White","Christian"
89,"Clark","Cox","1984-10-29","Male","Married","Asian","Christian"
90,"Joyce","Bell","1983-06-12","Feamle","Married","White","Christian"
91,"Joyce","Baker","1982-06-22","Feamle","Married","White","Christian"
92,"Cynthia","Phillips","1974-05-16","Feamle","Married","Hispanic","Christian"
93,"Long","Bennett","1980-09-21","Male","Married","Hispanic","Jewish"
94,"Kelly","Peterson","1978-01-28","Male","Married","Multiracial","Christian"
95,"Anna","Price","1965-08-17","Feamle","Unknown","White","Christian"
96,"Alexander","Brown","1968-06-18","Male","Single","Asian","Agnostic"
97,"Kelly","Richardson","1977-08-04","Other","Single","Hispanic","Muslim"
98,"Robinson","Brown","1988-07-16","Male","Married","White","Christian"
99,"Cooper","Lopez","1992-09-05","Male","Married","Asian","Agnostic"
100,"Phillips","Reed","1970-03-11","Male","Single","White","Christian"
101,"Kelly","Moore","1969-10-07","Male","Single","White","Christian"
102,"Wood","Sanders","1973-12-28","Male","Married","Black","Christian"
103,"Nancy","Young","1973-01-02","Feamle","Single","White","Christian"
104,"Howard","Perez","1985-08-26","Male","Married","White","Christian"
105,"Morgan","Gonzales","1970-07-03","Male","Single","White","Christian"
106,"Diane","Anderson","1982-02-03","Feamle","Married","Asian","Agnostic"
107,"Gray","Richardson","1978-02-09","Male","Single","Multiracial","Christian"
108,"Linda","Richardson","1975-07-11","Feamle","Unknown","White","Agnostic"
109,"Moore","Price","1978-09-20","Male","Married","White","Christian"
110,"Richardson","Wood","1958-04-27","Male","Single","White","Agnostic"
111,"Lopez","Jenkins","1979-04-06","Male","Single","White","Agnostic"
112,"Rivera","Wood","1972-10-27","Male","Single","White","Other"
113,"Angela","Evans","1976-11-14","Feamle","Married","White","Christian"
114,"Gonzalez","Thompson","1975-07-18","Male","Unknown","White","Christian"
115,"Parker","Martin","1959-07-11","Male","Single","White","Agnostic"
116,"Brown","Sanders","1970-07-17","Male","Single","White","Christian"
117,"Hill","Peterson","1970-11-16","Male","Married","White","Christian"
118,"Murphy","Lewis","1986-09-11","Male","Married","Hispanic","Jewish"
119,"Jennifer","Foster","1975-07-04","Feamle","Married","White","Christian"
120,"Thompson","Hernandez","1984-06-06","Male","Married","White","Christian"
121,"Anderson","Campbell","1952-03-23","Male","Single","Multiracial","Agnostic"
122,"Wright","Gonzales","2001-11-12","Male","Unknown","White","Other"
123,"Roberts","Turner","1990-09-26","Male","Married","Asian","Agnostic"
124,"Heather","Watson","1971-06-25","Feamle","Married","Hispanic","Christian"
125,"Gloria","Roberts","1949-11-12","Feamle","Married","White","Christian"
126,"Garcia","Edwards","1975-12-15","Male","Single","Hispanic","Agnostic"
127,"Sarah","Gray","1970-05-28","Feamle","Married","Multiracial","Christian"
128,"Brenda","Perry","1982-11-17","Feamle","Single","Hispanic","Christian"
129,"Julie","Russell","1982-04-11","Feamle","Married","White","Christian"
130,"Jackson","Bryant","1987-09-06","Other","Married","Hispanic","Christian"
131,"Perez","Parker","1971-09-05","Male","Married","Black","Christian"
132,"Angela","Flores","1974-04-01","Feamle","Married","Black","Christian"
133,"Hernandez","Stewart","1979-10-02","Male","Unknown","Hispanic","Christian"
134,"Baker","Torres","1975-11-20","Male","Married","White","Christian"
135,"Cooper","White","1975-03-22","Male","Unknown","Multiracial","Christian"
136,"Alice","Flores","1971-11-27","Feamle","Married","White","Christian"
137,"Elizabeth","Gonzales","1957-02-16","Feamle","Married","White","Agnostic"
138,"Bennett","Cooper","1985-03-02","Male","Married","White","Christian"
139,"Linda","Thompson","1968-07-24","Feamle","Unknown","White","Christian"
140,"Cook","Thompson","1964-11-20","Male","Married","White","Christian"
141,"Bennett","Walker","1960-10-01","Male","Married","Hispanic","Christian"
142,"Gray","Wright","1985-12-19","Male","Single","White","Christian"
143,"Brenda","Evans","1973-03-21","Feamle","Unknown","White","Agnostic"
144,"Mary","Turner","1971-11-21","Feamle","Single","Multiracial","Jewish"
145,"Brown","Stewart","1985-09-15","Male","Married","White","Christian"
146,"Williams","Rogers","1969-07-06","Male","Single","White","Agnostic"
147,"Martha","Powell","1980-06-28","Feamle","Unknown","Multiracial","Agnostic"
148,"Rebecca","Rogers","1973-02-26","Other","Single","White","Christian"
149,"Perry","Bennett","1972-01-23","Male","Married","White","Agnostic"
150,"Anna","Torres","1984-09-06","Feamle","Single","White","Agnostic"
151,"Sandra","Russell","1967-07-06","Feamle","Unknown","White","Christian"
152,"Christine","Washington","1972-07-29","Feamle","Unknown","Asian","Agnostic"
153,"Powell","Turner","1971-08-22","Male","Single","Multiracial","Christian"
154,"Collins","King","1977-11-19","Male","Single","Hispanic","Agnostic"
155,"Stewart","Taylor","1973-12-05","Male","Single","Multiracial","Christian"
156,"Ann","Rodriguez","1983-11-06","Feamle","Married","White","Agnostic"
157,"Sandra","Green","1954-07-11","Feamle","Married","Hispanic","Christian"
158,"Virginia","Baker","2001-12-05","Feamle","Single","Hispanic","Christian"
159,"Cooper","Anderson","1993-05-08","Male","Single","White","Christian"
160,"Cynthia","Alexander","1961-01-18","Other","Married","White","Christian"
161,"Nancy","Howard","1951-08-19","Feamle","Married","Asian","Christian"
162,"Morris","Wood","1972-04-25","Male","Married","Asian","Christian"
163,"Teresa","Powell","1971-07-22","Feamle","Married","White","Christian"
164,"Heather","Baker","1969-10-17","Feamle","Unknown","White","Christian"
165,"Rebecca","Hill","1988-01-02","Other","Single","White","Christian"
166,"Washington","Carter","1973-06-12","Male","Married","Black","Christian"
167,"Williams","Hernandez","1972-09-15","Male","Single","Black","Agnostic"
168,"Brenda","Barnes","1972-10-24","Feamle","Single","White","Christian"
169,"Young","Henderson","1978-05-16","Male","Married","White","Agnostic"
170,"Howard","Bryant","1975-09-25","Other","Married","White","Agnostic"
171,"Rebecca","Wilson","1969-03-13","Feamle","Married","White","Christian"
172,"Torres","Simmons","1975-12-05","Male","Married","White","Christian"
173,"Foster","Baker","1966-09-24","Male","Married","White","Christian"
174,"Ross","King","1978-03-24","Other","Married","White","Agnostic"
175,"Wright","Brooks","1955-06-10","Male","Single","White","Christian"
176,"Stephanie","Parker","1976-12-01","Feamle","Single","White","Christian"
177,"Martinez","Evans","1977-11-15","Male","Single","Black","Christian"
178,"Morris","Young","1978-10-16","Male","Married","White","Christian"
179,"Maria","Coleman","2005-10-09","Feamle","Single","White","Jewish"
180,"Jackson","Cooper","1974-04-18","Male","Single","White","Christian"
181,"Janet","Perry","1961-02-05","Feamle","Married","Black","Agnostic"
182,"Nelson","Barnes","1960-04-22","Male","Unknown","Black","Agnostic"
183,"Hill","Roberts","1967-01-09","Male","Married","Black","Christian"
184,"Barnes","Lewis","1979-01-20","Male","Single","Hispanic","Atheist"
185,"Parker","Parker","1980-01-27","Male","Married","White","Christian"
186,"Jessica","White","1950-03-18","Feamle","Married","White","Hindu"
187,"Ruth","Reed","1974-01-03","Other","Unknown","White","Atheist"
188,"Murphy","Hughes","1970-10-16","Male","Married","White","Christian"
189,"Virginia","Perry","1960-03-14","Other","Unknown","White","Hindu"
190,"White","Miller","1958-11-13","Male","Married","White","Christian"
191,"Sanders","Foster","1968-08-02","Male","Married","White","Christian"
192,"Scott","Martin","1979-01-26","Male","Married","Asian","Christian"
193,"Kelly","Thomas","1961-12-29","Male","Married","Hispanic","Christian"
194,"Robinson","Collins","1971-05-06","Male","Unknown","Hispanic","Agnostic"
195,"Laura","Gonzales","1982-08-05","Feamle","Married","White","Agnostic"
196,"Amy","Evans","1975-08-15","Feamle","Married","White","Christian"
197,"Alice","Bell","1976-11-12","Feamle","Married","White","Christian"
198,"Martin","Patterson","1971-07-26","Male","Married","White","Christian"
199,"Bryant","Hughes","1970-09-30","Male","Single","White","Christian"
200,"Scott","Ward","1968-05-20","Male","Married","Multiracial","Christian"
