"user_id","first_name","last_name","dob","martital_status","ethinicity"
1,"Donald","Moore","1968-02-01","Married","White"
2,"Timothy","Turner","1974-03-08","Married","Black"
3,"James","Campbell","1973-02-08","Single","Other"
4,"Jason","Robinson","1971-01-10","Unknown","White"
5,"Jason","Scott","1960-10-13","Single","Other"
6,"Heather","Smith","1974-05-18","Single","Asian"
7,"Mark","Brown","1963-12-08","Single","White"
8,"Julie","Martin","1968-07-24","Married","White"
9,"Stephen","Edwards","1974-01-14","Unknown","White"
10,"Andrew","Carter","1999-02-09","Single","White"
11,"Anna","Martin","1965-01-17","Married","Black"
12,"Gary","Baker","1983-08-01","Single","Other"
13,"Walter","Lopez","1971-06-16","Married","Black"
14,"Christopher","Baker","1965-04-20","Single","Asian"
15,"Kenneth","Carter","1970-06-26","Married","Other"
16,"Gloria","Walker","1978-02-28","Married","White"
17,"Andrew","Lee","2008-05-22","Unknown","Black"
18,"Kenneth","Jackson","1969-04-03","Married","White"
19,"Deborah","Harris","1963-06-07","Unknown","White"
20,"Eric","Carter","1977-03-16","Single","White"
21,"Maria","Allen","1985-01-12","Unknown","Asian"
22,"Gary","Lewis","1979-08-15","Married","White"
23,"Andrew","Jackson","1982-10-29","Unknown","White"
24,"Laura","Wilson","1959-01-29","Married","Hispanic"
25,"Eric","Lewis","1983-08-22","Single","Black"
26,"Sarah","Miller","1984-05-16","Single","White"
27,"Andrew","Gonzalez","1970-08-22","Single","Asian"
28,"Anna","Hall","1957-12-26","Single","White"
29,"Sarah","Wright","1974-12-13","Unknown","Other"
30,"Thomas","Collins","1982-12-06","Married","White"
31,"Jessica","Hill","1988-06-05","Single","Hispanic"
32,"Christopher","Nelson","1961-05-18","Single","Black"
33,"Brian","Miller","1975-12-23","Married","Black"
34,"Helen","Martinez","1979-02-24","Unknown","Hispanic"
35,"Carolyn","Lee","1960-10-26","Single","Hispanic"
36,"Peter","Anderson","1965-06-22","Unknown","Hispanic"
37,"Carl","Roberts","1975-04-22","Single","White"
38,"Joyce","Miller","1957-12-26","Married","White"
39,"Steven","Anderson","1967-02-24","Married","Asian"
40,"Alice","Perez","1978-07-25","Married","Other"
41,"Jose","Martin","1970-12-28","Single","White"
42,"Larry","Miller","1984-05-24","Unknown","Other"
43,"Michelle","Martin","1974-03-11","Single","Black"
44,"Pamela","Moore","1982-11-11","Single","White"
45,"Paul","Thompson","1989-08-15","Married","Hispanic"
46,"Stephanie","Lee","1964-05-16","Married","Hispanic"
47,"Peter","Thomas","1965-07-05","Single","Black"
48,"Gregory","Wright","1963-04-07","Single","White"
49,"Betty","King","1971-04-13","Single","Hispanic"
50,"Christopher","Johnson","1971-07-11","Single","White"
51,"Jose","Turner","1955-11-29","Single","Asian"
52,"Roger","Scott","1979-02-17","Single","White"
53,"Patrick","Martin","1968-03-04","Unknown","Asian"
54,"Linda","Harris","1967-11-04","Married","White"
55,"Joyce","Carter","1987-11-16","Single","Other"
56,"Paul","Anderson","1973-02-03","Married","Other"
57,"Kenneth","Baker","1968-07-24","Single","Black"
58,"Donald","Rodriguez","1963-02-17","Married","White"
59,"Joseph","Robinson","1974-03-27","Married","Hispanic"
60,"Joyce","Moore","1961-08-10","Married","Hispanic"
61,"Jerry","Hernandez","1985-07-17","Married","White"
62,"Kevin","Lewis","1972-05-11","Single","Hispanic"
63,"Robert","Miller","1978-05-01","Single","Other"
64,"Cynthia","Scott","1987-09-30","Married","Hispanic"
65,"Doris","Allen","1966-08-12","Married","White"
66,"Frank","Scott","1978-08-18","Married","White"
67,"Joshua","Moore","1969-01-26","Single","Other"
68,"Dennis","White","1970-07-17","Single","Other"
69,"Charles","Phillips","1974-01-25","Single","Other"
70,"Margaret","Hill","1973-09-08","Married","Other"
71,"Larry","Hill","1979-07-31","Unknown","Hispanic"
72,"Angela","Young","1983-05-15","Married","White"
73,"Ryan","Johnson","1981-01-14","Unknown","Other"
74,"Eric","White","1953-04-27","Married","Hispanic"
75,"Donald","White","1961-05-02","Married","White"
76,"Rebecca","Martinez","1975-12-23","Single","Hispanic"
77,"Stephanie","Gonzalez","1976-12-07","Married","White"
78,"Lisa","Brown","1977-07-28","Married","Hispanic"
79,"Ruth","Perez","1981-02-23","Single","Hispanic"
80,"Thomas","Roberts","1972-11-28","Unknown","White"
81,"Jeffrey","Davis","1960-08-01","Married","Asian"
82,"Timothy","Gonzalez","1978-05-14","Married","Black"
83,"Joshua","Young","1965-06-26","Single","White"
84,"Christopher","Jackson","1996-09-28","Married","Other"
85,"Richard","Evans","1987-01-06","Single","White"
86,"Kenneth","Garcia","1976-08-26","Unknown","White"
87,"Martha","Davis","1979-08-10","Single","Hispanic"
88,"Peter","Brown","1990-06-19","Single","Black"
